STATUS,MNET_ID,ELEVATION,NAME,SHORTNAME,DISTANCE,SGID,NWSFIREZONE,STID,LONGITUDE,COUNTY,CWA,STATE,NWSZONE,LATITUDE,TIMEZONE,GACC,COUNTRY,ID
INACTIVE,65,558,CW3409 Puyallup,APRSWXNET/CWOP,30.73,NW01,SEW657,C3409,-122.3185,Pierce,SEW,WA,WA509,47.0877,America/Los_Angeles,NWCC,US,13306
ACTIVE,37,6880,Sunrise Upper,NWAC,6.99,NW02,SEW659,SUN69,-121.6516,Pierce,SEW,WA,WA569,46.91918,America/Los_Angeles,NWCC,US,14337
ACTIVE,65,600,AC7KP Eatonville,APRSWXNET/CWOP,28.29,NW01,SEW657,AS028,-122.35667,Pierce,SEW,WA,WA555,46.91517,America/Los_Angeles,NWCC,US,14797
ACTIVE,65,745,CW5049 Enumclaw,APRSWXNET/CWOP,26.86,NW01,SEW657,C5049,-122.00003,King,SEW,WA,WA555,47.20764,America/Los_Angeles,NWCC,US,15076
INACTIVE,65,518,CW5101 Bonney Lake,APRSWXNET/CWOP,29.08,NW01,SEW657,C5101,-122.1917,Pierce,SEW,WA,WA555,47.1573,America/Los_Angeles,NWCC,US,15086
INACTIVE,65,125,CW5490 Orting,APRSWXNET/CWOP,29.54,NW01,SEW657,C5490,-122.2412,Pierce,SEW,WA,WA509,47.1312,America/Los_Angeles,NWCC,US,15476
ACTIVE,65,740,CW5581 Graham,APRSWXNET/CWOP,28.26,NW01,SEW657,C5581,-122.31383,Pierce,SEW,WA,WA555,47.0165,America/Los_Angeles,NWCC,US,15581
ACTIVE,37,10110,Camp Muir,NWAC,1.94,NW02,SEW659,MU101,-121.73305,Pierce,SEW,WA,WA569,46.83542,America/Los_Angeles,NWCC,US,17500
INACTIVE,106,2690,BUCK CK CAMP MET STATION NR GREENWATER 10SE,HADS,15.33,NW02,SEW659,BKGW1,-121.55222,Pierce,SEW,WA,WA569,47.02167,America/Los_Angeles,NWCC,US,18409
ACTIVE,106,1640,PUYALLUP RIVER NEAR ELECTRON NEAR ORTING 19SE,HADS,13.19,NW02,SEW659,ELEW1,-122.03389,Pierce,SEW,WA,WA569,46.90389,America/Los_Angeles,NWCC,US,18414
ACTIVE,106,1211,CARBON RIVER NEAR FAIRFAX NEAR CARBONADO 4S,HADS,17.43,NW02,SEW659,FFXW1,-122.03139,Pierce,SEW,WA,WA569,47.02806,America/Los_Angeles,NWCC,US,18415
ACTIVE,106,1720,GREENWATER RIVER AT GREENWATER NEAR ENUMCLAW 17ESE,HADS,21.61,NW02,SEW659,GRNW1,-121.63444,King,SEW,WA,WA568,47.15361,America/Los_Angeles,NWCC,US,18416
ACTIVE,106,1450,NISQUALLY RIVER NEAR NATIONAL NEAR ASHFORD 2W,HADS,16.58,NW02,SEW657,NISW1,-122.0825,Pierce,SEW,WA,WA569,46.75278,America/Los_Angeles,NWCC,US,18419
ACTIVE,106,1047,COWLITZ RIVER AT PACKWOOD,HADS,17.12,NW02,SEW655,PACW1,-121.67806,Lewis,SEW,WA,WA569,46.61306,America/Los_Angeles,NWCC,US,18423
ACTIVE,106,430,SOUTH PRAIRIE CREEK AT SOUTH PRAIRIE,HADS,25.06,NW01,SEW657,SPEW1,-122.09139,Pierce,SEW,WA,WA555,47.13972,America/Los_Angeles,NWCC,US,18432
INACTIVE,106,655,WHITE RIVER CANAL AT BUCKLY,HADS,26.15,NW01,SEW657,WRCW1,-122.06333,Pierce,SEW,WA,WA555,47.1725,America/Los_Angeles,NWCC,US,18435
INACTIVE,106,3600,DEEP CREEK BLO COPPER CREEK NEAR NACHES 29NW,HADS,21.16,NW05,OTX680,DEPW1,-121.31778,Yakima,PDT,WA,WA520,46.8325,America/Los_Angeles,NWCC,US,18444
INACTIVE,65,449,CW7454 Spanaway,APRSWXNET/CWOP,31.25,NW01,SEW657,C7454,-122.34467,Pierce,SEW,WA,WA509,47.072,America/Los_Angeles,NWCC,US,18767
INACTIVE,65,479,CW7296 Puyallup,APRSWXNET/CWOP,29.01,NW01,SEW657,C7296,-122.2705,Pierce,SEW,WA,WA509,47.0925,America/Los_Angeles,NWCC,US,18813
INACTIVE,65,869,CW6700 Graham,APRSWXNET/CWOP,25.48,NW01,SEW657,C6700,-122.2395,Pierce,SEW,WA,WA555,47.02917,America/Los_Angeles,NWCC,US,21446
ACTIVE,1,538,Pierce County-Thun Field,NWS/FAA,30.1,NW01,SEW657,KPLU,-122.287,Pierce,SEW,WA,WA509,47.104,America/Los_Angeles,NWCC,US,21627
ACTIVE,25,4640,SAWMILL RIDGE,SNOTEL,26.62,NW02,SEW659,SAWW1,-121.42172,King,SEW,WA,WA568,47.15992,America/Los_Angeles,NWCC,US,22298
ACTIVE,65,440,CW9111 Elk Plain,APRSWXNET/CWOP,31.57,NW01,SEW657,C9111,-122.368,Pierce,SEW,WA,WA509,47.05117,America/Los_Angeles,NWCC,US,22329
INACTIVE,65,571,CW9328 Graham,APRSWXNET/CWOP,29.45,NW01,SEW657,C9328,-122.30933,Pierce,SEW,WA,WA509,47.06183,America/Los_Angeles,NWCC,US,22527
